link_id,vdf_type,from_node_id,to_node_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,preload_volume,person_volume,travel_time,speed,speed_ratio,VOC,DOC,capacity,queue,avg_waiting_time_in_min,qdf,lanes,D,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_sov,person_vol_hov2,person_vol_hov3,person_vol_sut,person_vol_mut,obs_count,upper_bound_type,dev,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,TT_0,TT_1,TT_2,TT_3,TT_4,TT_5,TT_6,TT_7,TT_8,TT_9,TT_10,TT_11,TT_12,TT_13,TT_14,TT_15,TT_16,TT_17,TT_18,TT_19,SVol_0,SVol_1,SVol_2,SVol_3,SVol_4,SVol_5,SVol_6,SVol_7,SVol_8,SVol_9,SVol_10,SVol_11,SVol_12,SVol_13,SVol_14,SVol_15,SVol_16,SVol_17,SVol_18,SVol_19,notes
200820AB,qvdf,202925,202924,,,-1,0,-1,-1,4,,4,1500_1800,260.809,1.600,260.809,1.626,37.879,0.971,0.174,0.185,500.000,0.000,0.047,0.355,1.000,92.549,1.169,1.195,0.067,0.000,39.000,33.150,0.498,1.000,37.879,32.081,267.682,7.067,267.682,7.067,0.203,0.000,"LINESTRING (-112.446534 33.715240, -112.463350 33.712930)",259.2,0.0,0.0,0.0,0.0,195.8,0,65.0,39.000,39.000,39.000,39.000,39.000,39.000,39.000,37.050,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,37.050,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,38.952,38.810,38.667,38.525,38.382,38.240,38.097,37.955,36.017,38.227,38.517,38.807,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,260.81,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,period-based
200820BA,qvdf,202924,202925,,,-1,0,-1,-1,4,,4,1500_1800,218.445,1.544,218.445,1.614,38.164,0.979,0.146,0.155,500.000,0.000,0.035,0.355,1.000,77.516,1.169,1.195,0.050,0.000,39.000,33.150,0.498,1.000,38.164,32.352,224.201,5.875,224.201,5.875,0.126,0.000,"LINESTRING (-112.462914 33.709754, -112.446098 33.712064)",216.9,0.0,0.0,0.0,0.0,146.3,0,72.1,39.000,39.000,39.000,39.000,39.000,39.000,39.000,37.050,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,37.050,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,38.965,38.859,38.753,38.647,38.541,38.435,38.330,38.224,36.284,38.428,38.643,38.857,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,1.62,1.62,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,224.12,0.00,-0.41,-0.39,-0.38,-0.37,-0.35,-0.34,-0.33,-0.32,-0.31,-0.29,-0.28,-0.27,-0.26,-0.25,-0.24,-0.23,-0.22,-0.21,period-based
200821AB,qvdf,202925,202923,,,-1,0,-1,-1,2,,2,1500_1800,3917.399,628.227,3917.399,1.666,41.993,0.750,0.725,0.786,900.000,0.000,0.417,0.361,2.000,707.124,1.235,1.177,0.821,0.000,56.000,47.600,0.457,1.000,41.993,34.610,4568.785,108.798,4568.785,108.798,27.212,12.815,"LINESTRING (-112.445319 33.714907, -112.459997 33.726565)",3289.2,0.0,0.0,0.0,0.0,3833.2,0,84.2,55.977,55.910,55.842,55.774,55.706,55.638,55.571,52.768,55.651,55.746,55.841,55.937,55.966,55.865,55.765,55.664,55.563,55.462,55.361,55.260,55.159,55.058,54.958,54.857,54.756,54.655,51.866,54.772,54.913,55.055,55.197,55.339,55.480,55.622,55.764,55.906,55.560,54.239,52.918,51.597,50.276,48.955,49.326,39.952,36.487,48.322,50.065,53.626,56.000,56.000,56.000,56.000,56.000,56.000,56.000,56.000,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,3917.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
200821BA,qvdf,202923,202925,,,-1,0,-1,-1,2,,2,1500_1800,4161.970,664.332,4161.970,1.711,40.888,0.730,0.771,0.835,900.000,0.000,0.462,0.361,2.000,751.271,1.235,1.177,0.909,0.000,56.000,47.600,0.457,1.000,40.888,33.618,4854.022,118.715,4854.022,118.715,32.037,16.741,"LINESTRING (-112.461991 33.724055, -112.447313 33.712397)",3497.6,0.0,0.0,0.0,0.0,3956.1,0,205.9,55.975,55.901,55.826,55.752,55.677,55.603,55.528,52.725,55.617,55.721,55.826,55.930,55.963,55.852,55.742,55.631,55.520,55.409,55.299,55.188,55.077,54.967,54.856,54.745,54.634,54.524,51.737,54.651,54.807,54.963,55.118,55.274,55.429,55.585,55.741,55.896,55.547,54.188,52.829,51.470,50.112,48.753,50.644,38.063,35.170,48.794,49.583,53.433,56.000,56.000,56.000,56.000,56.000,56.000,56.000,56.000,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,4153.76,0.00,0.54,0.53,0.51,0.50,0.49,0.48,0.46,0.45,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.36,0.36,0.35,period-based
200831AB,qvdf,202909,202908,,,-1,0,-1,-1,2,,2,1500_1800,2133.133,10.124,2133.133,0.869,34.851,0.894,0.395,0.428,900.000,0.000,0.092,0.361,2.000,385.049,1.235,1.177,0.293,0.000,39.000,33.150,0.457,1.000,34.851,29.234,1077.190,30.908,1077.190,30.908,3.288,0.000,"LINESTRING (-112.452710 33.640116, -112.461465 33.639989)",2123.0,0.0,0.0,0.0,0.0,2147.5,0,-14.3,39.000,39.000,39.000,39.000,39.000,39.000,39.000,37.050,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,38.999,38.999,38.999,38.999,38.999,38.999,37.049,38.999,38.999,38.999,38.999,39.000,39.000,39.000,39.000,39.000,38.813,38.254,37.694,37.135,36.575,36.016,35.456,34.604,32.672,35.760,36.975,38.190,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,2133.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
200831BA,qvdf,202908,202909,,,-1,0,-1,-1,2,,2,1500_1800,1494.010,10.076,1494.010,0.827,36.616,0.939,0.277,0.300,900.000,0.000,0.051,0.361,2.000,269.681,1.235,1.177,0.160,0.000,39.000,33.150,0.457,1.000,36.616,30.888,754.445,20.604,754.445,20.604,1.259,0.000,"LINESTRING (-112.461419 33.636783, -112.452664 33.636910)",1483.9,0.0,0.0,0.0,0.0,1497.0,0,-2.9,39.000,39.000,39.000,39.000,39.000,39.000,39.000,37.050,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,38.999,38.999,38.999,38.999,38.999,38.999,37.049,38.999,38.999,38.999,38.999,39.000,39.000,39.000,39.000,39.000,38.897,38.586,38.276,37.965,37.655,37.345,37.034,36.724,34.784,37.273,37.920,38.568,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,1494.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,period-based
200833AB,qvdf,202905,202904,,,-1,0,-1,-1,4,,4,1500_1800,55.839,0.000,55.839,3.273,39.913,0.998,0.037,0.040,500.000,0.000,0.007,0.355,1.000,19.815,1.169,1.195,0.005,0.000,40.000,34.000,0.498,1.000,39.913,33.917,121.564,3.046,121.564,3.046,0.007,0.000,"LINESTRING (-112.478596 33.680470, -112.440812 33.680415)",55.8,0.0,0.0,0.0,0.0,7.8,0,48.0,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,39.996,39.986,39.975,39.964,39.953,39.942,39.931,39.920,37.922,39.942,39.964,39.986,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,58.37,0.00,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,period-based
200833BA,qvdf,202904,202905,,,-1,0,-1,1,4,,4,1500_1800,20.227,0.000,20.227,3.267,39.984,1.000,0.013,0.014,500.000,0.000,0.001,0.355,1.000,7.177,1.169,1.195,0.001,0.000,40.000,34.000,0.498,1.000,39.984,33.985,44.035,1.101,44.035,1.101,0.000,0.000,"LINESTRING (-112.440808 33.683621, -112.478592 33.683676)",20.2,0.0,0.0,0.0,0.0,9.2,0,11.0,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,39.999,39.997,39.995,39.994,39.992,39.990,39.988,39.986,37.986,39.990,39.994,39.997,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,20.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
200846AB,qvdf,615,202905,,,-1,0,-1,-1,9,,9,1500_1800,55.839,0.000,55.839,3.660,20.000,1.000,0.000,0.000,99999.000,0.000,0.000,0.355,9.000,2.202,1.169,1.195,0.000,0.000,20.000,17.000,0.498,1.000,20.000,17.000,68.127,3.406,68.127,3.406,0.000,0.000,"LINESTRING (-112.462929 33.694446, -112.479483 33.683406)",55.8,0.0,0.0,0.0,0.0,7.5,0,48.3,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,19.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,58.37,0.00,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,period-based
200846BA,qvdf,202905,615,,,-1,0,-1,-1,9,,9,1500_1800,20.227,0.000,20.227,3.660,20.000,1.000,0.000,0.000,99999.000,0.000,0.000,0.355,9.000,0.797,1.169,1.195,0.000,0.000,20.000,17.000,0.498,1.000,20.000,17.000,24.678,1.234,24.678,1.234,0.000,0.000,"LINESTRING (-112.477705 33.680740, -112.461151 33.691780)",20.2,0.0,0.0,0.0,0.0,8.9,0,11.4,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,19.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,20.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
