data_type,link_id,tmc_corridor_name,from_node_id,to_node_id,vdf_code,QVDF_qdf1,QVDF_n1,QVDF_s1,QVDF_cp1,QVDF_cd1,QVDF_alpha1,QVDF_beta1,QVDF_qdf2,QVDF_n2,QVDF_s2,QVDF_cp2,QVDF_cd2,QVDF_alpha2,QVDF_beta2,QVDF_qdf3,QVDF_n3,QVDF_s3,QVDF_cp3,QVDF_cd3,QVDF_alpha3,QVDF_beta3,
link,201065AB,US-60-EASTBOUND,202809,202790,2,0.386000,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,0.197324,1.124000,1.000000,0.778740,1.299769,0.539830,1.124000,0.351217,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,
link,201078AB,AZ-303-LOOP-SOUTHBOUND,202768,202767,1,0.332718,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,0.148682,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,0.330017,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,
link,201086AB,AZ-303-LOOP-NORTHBOUND,202753,202752,1,0.345112,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,0.171893,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,0.329938,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,
link,201275AB,AZ-303-LOOP-NORTHBOUND,202612,202611,1,0.347554,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,0.175700,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,0.345895,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,
link,201102AB,US-60-WESTBOUND,202735,202734,2,0.350136,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,0.162837,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,0.379292,1.124000,1.000000,0.596967,1.293556,0.411845,1.124000,
link,201323AB,AZ-303-LOOP-NORTHBOUND,202599,202612,1,0.341099,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,0.173788,1.124000,1.000000,0.048314,1.166986,0.030070,1.124000,0.330252,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,
link,201102BA,US-60-EASTBOUND,202734,202735,2,0.371935,1.124000,1.000000,0.063780,1.517590,0.051622,1.124000,0.709782,1.234582,1.000000,0.120961,1.000000,0.064512,1.234582,0.330072,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,
link,201277AB,AZ-303-LOOP-SOUTHBOUND,202608,202607,1,0.343481,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,0.157352,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,0.350316,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,
link,201065BA,US-60-WESTBOUND,202790,202809,2,0.269401,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,0.178679,1.124000,1.000000,0.351988,1.808590,0.339521,1.124000,0.333333,1.124000,1.000000,0.254343,1.550019,0.210260,1.124000,
link,201344AB,AZ-303-LOOP-NORTHBOUND,202611,202579,1,0.345112,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,0.171893,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,0.329938,1.240000,1.000000,0.600000,1.000000,0.320000,1.240000,
