first_column,node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry,Centroid,is_boundary,,,subarea_id
,202926,,-112.480687,33.740538,,,6,POINT (-112.480687 33.740538),,,,,
,202925,,-112.446316,33.713652,,,0,POINT (-112.446316 33.713652),,,,,
,202924,,-112.463132,33.711342,,,0,POINT (-112.463132 33.711342),,,,,
,202923,,-112.460994,33.72531,,,0,POINT (-112.460994 33.725310),,,,,
,202909,,-112.452687,33.638513,,,0,POINT (-112.452687 33.638513),,,,,
,202908,,-112.461442,33.638386,,,0,POINT (-112.461442 33.638386),,,,,
,202905,,-112.478594,33.682073,,,0,POINT (-112.478594 33.682073),,,,,
,202904,,-112.44081,33.682018,,,0,POINT (-112.440810 33.682018),,,,,1
,202894,,-112.478543,33.711346,,,16,POINT (-112.478543 33.711346),,,,,
,615,,-112.46204,33.693113,,,615,POINT (-112.462040 33.693113),615,1,,,
,602,,-112.481753,33.611509,,,602,POINT (-112.481753 33.611509),602,1,,,
,2166,,-112.467972,33.659825,,,2166,POINT (-112.467972 33.659825),2166,1,,,
,202855,,-112.472467,33.638364,,,5,POINT (-112.472467 33.638364),,,,,
,2146,,-112.464659,33.71714,,,2146,POINT (-112.464659 33.717140),2146,1,,,
,202831,,-112.463132,33.718526,,,0,POINT (-112.463132 33.718526),,,,,
,202825,,-112.464113,33.711342,,,0,POINT (-112.464113 33.711342),,,,,
,202824,,-112.469722,33.711339,,,0,POINT (-112.469722 33.711339),,,,,
,2125,,-112.474416,33.729884,,,2125,POINT (-112.474416 33.729884),2125,1,,,
,620,,-112.433183,33.684132,,,620,POINT (-112.433183 33.684132),620,1,,,1
,202809,,-112.412007,33.686868,,,0,POINT (-112.412007 33.686868),,,,,1
,645,,-112.333253,33.631209,,,645,POINT (-112.333253 33.631209),645,1,,,1
,202808,,-112.324798,33.63077,,,0,POINT (-112.324798 33.630770),,,,,1
,647,,-112.340401,33.687231,,,647,POINT (-112.340401 33.687231),647,1,,,1
,202807,,-112.342306,33.682083,,,0,POINT (-112.342306 33.682083),,,,,1
,202806,,-112.31338,33.681851,,,8,POINT (-112.313380 33.681851),,,,,1
,653,,-112.331604,33.675656,,,653,POINT (-112.331604 33.675656),653,1,,,1
,202804,,-112.325834,33.674807,,,0,POINT (-112.325834 33.674807),,,,,1
,654,,-112.329712,33.64778,,,654,POINT (-112.329712 33.647780),654,1,,,1
,202803,,-112.325009,33.653237,,,0,POINT (-112.325009 33.653237),,,,,1
,202796,,-112.423245,33.695797,,,0,POINT (-112.423245 33.695797),,,,,1
,202790,,-112.405334,33.681636,,,0,POINT (-112.405334 33.681636),,,,,1
,202789,,-112.325928,33.68142,,,0,POINT (-112.325928 33.681420),,,,,1
,202788,,-112.334084,33.692359,,,0,POINT (-112.334084 33.692359),,,,,1
,202785,,-112.325524,33.667625,,,0,POINT (-112.325524 33.667625),,,,,1
,202784,,-112.331676,33.666065,,,0,POINT (-112.331676 33.666065),,,,,1
,202783,,-112.32476,33.638727,,,0,POINT (-112.324760 33.638727),,,,,1
,202782,,-112.334501,33.638522,,,0,POINT (-112.334501 33.638522),,,,,1
,202780,,-112.330766,33.623526,,,3,POINT (-112.330766 33.623526),,,,,1
,202768,,-112.396526,33.687434,,,0,POINT (-112.396526 33.687434),,,,,1
,202767,,-112.403252,33.68141,,,0,POINT (-112.403252 33.681410),,,,,1
,202766,,-112.323022,33.740874,,,18,POINT (-112.323022 33.740874),,,,,
,202764,,-112.354371,33.682966,,,0,POINT (-112.354371 33.682966),,,,,1
,202763,,-112.357667,33.686277,,,0,POINT (-112.357667 33.686277),,,,,1
,202762,,-112.381543,33.68683,,,0,POINT (-112.381543 33.686830),,,,,1
,202761,,-112.389691,33.684683,,,0,POINT (-112.389691 33.684683),,,,,1
,202760,,-112.315898,33.715288,,,7,POINT (-112.315898 33.715288),,,,,1
,202759,,-112.337492,33.711459,,,0,POINT (-112.337492 33.711459),,,,,1
,202756,,-112.325665,33.726993,,,0,POINT (-112.325665 33.726993),,,,,
,202755,,-112.330772,33.726815,,,0,POINT (-112.330772 33.726815),,,,,
,202753,,-112.403023,33.681234,,,0,POINT (-112.403023 33.681234),,,,,1
,202752,,-112.39628,33.687252,,,0,POINT (-112.396280 33.687252),,,,,1
,202750,,-112.313608,33.707118,,,1,POINT (-112.313608 33.707118),,,,,1
,202749,,-112.334077,33.698525,,,0,POINT (-112.334077 33.698525),,,,,1
,202748,,-112.334078,33.698246,,,0,POINT (-112.334078 33.698246),,,,,1
,202747,,-112.313302,33.707018,,,1,POINT (-112.313302 33.707018),,,,,1
,202746,,-112.452831,33.6242,,,0,POINT (-112.452831 33.624200),,,,,
,202745,,-112.435456,33.624241,,,15,POINT (-112.435456 33.624241),,,,,1
,633,,-112.400922,33.631194,,,633,POINT (-112.400922 33.631194),633,1,,,1
,202744,,-112.393981,33.631331,,,0,POINT (-112.393981 33.631331),,,,,1
,202743,,-112.401674,33.624152,,,13,POINT (-112.401674 33.624152),,,,,1
,202739,,-112.385243,33.623953,,,11,POINT (-112.385243 33.623953),,,,,1
,202735,,-112.390686,33.669473,,,0,POINT (-112.390686 33.669473),,,,,1
,202734,,-112.395598,33.674156,,,0,POINT (-112.395598 33.674156),,,,,1
,202733,,-112.393117,33.666132,,,0,POINT (-112.393117 33.666132),,,,,1
,202732,,-112.404481,33.654611,,,0,POINT (-112.404481 33.654611),,,,,1
,202731,,-112.401189,33.668896,,,0,POINT (-112.401189 33.668896),,,,,1
,202730,,-112.404621,33.638801,,,0,POINT (-112.404621 33.638801),,,,,1
,202729,,-112.394087,33.638726,,,0,POINT (-112.394087 33.638726),,,,,1
,202728,,-112.393926,33.624102,,,12,POINT (-112.393926 33.624102),,,,,1
,202705,,-112.426766,33.624238,,,14,POINT (-112.426766 33.624238),,,,,1
,622,,-112.434703,33.645963,,,622,POINT (-112.434703 33.645963),622,1,,,1
,202623,,-112.434548,33.65328,,,0,POINT (-112.434548 33.653280),,,,,1
,202622,,-112.426702,33.649428,,,0,POINT (-112.426702 33.649428),,,,,1
,624,,-112.398425,33.64639,,,624,POINT (-112.398425 33.646390),624,1,,,1
,628,,-112.434767,33.631469,,,628,POINT (-112.434767 33.631469),628,1,,,1
,202621,,-112.426698,33.631545,,,0,POINT (-112.426698 33.631545),,,,,1
,202620,,-112.426821,33.65324,,,0,POINT (-112.426821 33.653240),,,,,1
,202619,,-112.406936,33.645969,,,0,POINT (-112.406936 33.645969),,,,,1
,202618,,-112.426743,33.638872,,,0,POINT (-112.426743 33.638872),,,,,1
,202617,,-112.433938,33.638784,,,0,POINT (-112.433938 33.638784),,,,,1
,202616,,-112.435568,33.653276,,,0,POINT (-112.435568 33.653276),,,,,1
,202615,,-112.434326,33.645281,,,0,POINT (-112.434326 33.645281),,,,,1
,202614,,-112.425669,33.657282,,,0,POINT (-112.425669 33.657282),,,,,1
,202613,,-112.428453,33.661048,,,0,POINT (-112.428453 33.661048),,,,,1
,202612,,-112.41824,33.640639,,,0,POINT (-112.418240 33.640639),,,,,1
,202611,,-112.407114,33.677112,,,0,POINT (-112.407114 33.677112),,,,,1
,202610,,-112.42713,33.665052,,,0,POINT (-112.427130 33.665052),,,,,1
,202609,,-112.424924,33.66653,,,0,POINT (-112.424924 33.666530),,,,,1
,202608,,-112.407417,33.677491,,,0,POINT (-112.407417 33.677491),,,,,1
,202607,,-112.418467,33.640626,,,0,POINT (-112.418467 33.640626),,,,,1
,202606,,-112.435072,33.638808,,,0,POINT (-112.435072 33.638808),,,,,1
,202604,,-112.409418,33.638797,,,0,POINT (-112.409418 33.638797),,,,,1
,202603,,-112.414604,33.630937,,,0,POINT (-112.414604 33.630937),,,,,1
,202602,,-112.417136,33.638814,,,0,POINT (-112.417136 33.638814),,,,,1
,202600,,-112.418422,33.626198,,,4,POINT (-112.418422 33.626198),,,,,1
,202599,,-112.418247,33.636862,,,0,POINT (-112.418247 33.636862),,,,,1
,202597,,-112.418445,33.636825,,,0,POINT (-112.418445 33.636825),,,,,1
,202596,,-112.418553,33.626198,,,4,POINT (-112.418553 33.626198),,,,,1
,202588,,-112.419678,33.638828,,,0,POINT (-112.419678 33.638828),,,,,1
,202587,,-112.418616,33.636979,,,0,POINT (-112.418616 33.636979),,,,,1
,202586,,-112.419381,33.639043,,,0,POINT (-112.419381 33.639043),,,,,1
,202585,,-112.419523,33.638935,,,0,POINT (-112.419523 33.638935),,,,,1
,202584,,-112.418026,33.640486,,,0,POINT (-112.418026 33.640486),,,,,1
,202583,,-112.417276,33.638481,,,0,POINT (-112.417276 33.638481),,,,,1
,202582,,-112.417192,33.638624,,,0,POINT (-112.417192 33.638624),,,,,1
,202581,,-112.415733,33.672911,,,0,POINT (-112.415733 33.672911),,,,,1
,621,,-112.425654,33.670727,,,621,POINT (-112.425654 33.670727),621,1,,,1
,623,,-112.402538,33.665005,,,623,POINT (-112.402538 33.665005),623,1,,,1
,202580,,-112.402696,33.679682,,,0,POINT (-112.402696 33.679682),,,,,1
,202579,,-112.405285,33.67892,,,0,POINT (-112.405285 33.678920),,,,,1
,202578,,-112.405692,33.679114,,,0,POINT (-112.405692 33.679114),,,,,1
,202577,,-112.404774,33.681245,,,0,POINT (-112.404774 33.681245),,,,,1
,202576,,-112.403035,33.679927,,,0,POINT (-112.403035 33.679927),,,,,1
,202575,,-112.403932,33.680592,,,0,POINT (-112.403932 33.680592),,,,,1
,627,,-112.36791,33.645483,,,627,POINT (-112.367910 33.645483),627,1,,,1
,202525,,-112.359637,33.645901,,,0,POINT (-112.359637 33.645901),,,,,1
,649,,-112.379392,33.678514,,,649,POINT (-112.379392 33.678514),649,1,,,1
,651,,-112.353206,33.650097,,,651,POINT (-112.353206 33.650097),651,1,,,1
,202524,,-112.365527,33.658733,,,0,POINT (-112.365527 33.658733),,,,,1
,202523,,-112.348458,33.654638,,,0,POINT (-112.348458 33.654638),,,,,1
,202522,,-112.337504,33.649679,,,0,POINT (-112.337504 33.649679),,,,,1
,2197,,-112.368001,33.631027,,,2197,POINT (-112.368001 33.631027),2197,1,,,1
,202521,,-112.359366,33.631134,,,0,POINT (-112.359366 33.631134),,,,,1
,202520,,-112.354606,33.678725,,,0,POINT (-112.354606 33.678725),,,,,1
,202519,,-112.371726,33.670753,,,0,POINT (-112.371726 33.670753),,,,,1
,202518,,-112.364881,33.665829,,,0,POINT (-112.364881 33.665829),,,,,1
,202517,,-112.358748,33.6619,,,0,POINT (-112.358748 33.661900),,,,,1
,202516,,-112.370098,33.65419,,,0,POINT (-112.370098 33.654190),,,,,1
,202515,,-112.376931,33.653079,,,0,POINT (-112.376931 33.653079),,,,,1
,202514,,-112.38874,33.646884,,,0,POINT (-112.388740 33.646884),,,,,1
,202513,,-112.368074,33.638628,,,0,POINT (-112.368074 33.638628),,,,,1
,202512,,-112.359398,33.638646,,,0,POINT (-112.359398 33.638646),,,,,1
,626,,-112.376209,33.643504,,,626,POINT (-112.376209 33.643504),626,1,,,1
,637,,-112.385328,33.631276,,,637,POINT (-112.385328 33.631276),637,1,,,1
,202511,,-112.385342,33.63872,,,0,POINT (-112.385342 33.638720),,,,,1
,202510,,-112.376662,33.631028,,,0,POINT (-112.376662 33.631028),,,,,1
,202509,,-112.381016,33.638649,,,0,POINT (-112.381016 33.638649),,,,,1
,202508,,-112.376811,33.638616,,,0,POINT (-112.376811 33.638616),,,,,1
,625,,-112.39191,33.650741,,,625,POINT (-112.391910 33.650741),625,1,,,1
,650,,-112.373945,33.664667,,,650,POINT (-112.373945 33.664667),650,1,,,1
,202506,,-112.387473,33.671728,,,0,POINT (-112.387473 33.671728),,,,,1
,2061,,-112.38471,33.658775,,,2061,POINT (-112.384710 33.658775),2061,1,,,1
,202505,,-112.379549,33.672571,,,0,POINT (-112.379549 33.672571),,,,,1
,202504,,-112.373609,33.656892,,,0,POINT (-112.373609 33.656892),,,,,1
,202503,,-112.370448,33.658836,,,0,POINT (-112.370448 33.658836),,,,,1
,640,,-112.350044,33.631097,,,640,POINT (-112.350044 33.631097),640,1,,,1
,202502,,-112.35506,33.638642,,,0,POINT (-112.355060 33.638642),,,,,1
,202501,,-112.341961,33.62774,,,9,POINT (-112.341961 33.627740),,,,,1
,202500,,-112.342096,33.638688,,,0,POINT (-112.342096 33.638688),,,,,1
,202499,,-112.350235,33.638677,,,0,POINT (-112.350235 33.638677),,,,,1
,202498,,-112.342079,33.632787,,,19,POINT (-112.342079 33.632787),,,,,1
,202497,,-112.342088,33.632453,,,0,POINT (-112.342088 33.632453),,,,,1
,202496,,-112.359348,33.628814,,,10,POINT (-112.359348 33.628814),,,,,1
,202495,,-112.330326,33.624071,,,3,POINT (-112.330326 33.624071),,,,,1
,652,,-112.350722,33.664185,,,652,POINT (-112.350722 33.664185),652,1,,,1
,202493,,-112.336609,33.674255,,,0,POINT (-112.336609 33.674255),,,,,1
,202492,,-112.358092,33.662784,,,0,POINT (-112.358092 33.662784),,,,,1
,202488,,-112.389505,33.692538,,,0,POINT (-112.389505 33.692538),,,,,1
,202487,,-112.389369,33.692288,,,0,POINT (-112.389369 33.692288),,,,,1
,202485,,-112.377266,33.724753,,,0,POINT (-112.377266 33.724753),,,,,
