node_id,zone_id,x_coord,y_coord,macro_node_id,macro_link_id,activity_type,is_boundary
0,,-111.9303716,33.4231908,0,,tertiary,0
100,,-111.9291481,33.4242448,1,,residential,0
101,,-111.9291735,33.4243042,1,,residential,0
1,,-111.9304453,33.4232039,0,,tertiary,0
200,,-111.9411829,33.4243073,2,,residential,0
34900,,-111.9401577,33.4243129,349,,residential,0
34901,,-111.9401582,33.424376,349,,residential,0
201,,-111.9411832,33.4243704,2,,residential,0
400,,-111.9375467,33.4243264,4,,residential,0
500,,-111.936752,33.4243274,5,,residential,0
501,,-111.9367521,33.4243906,5,,residential,0
401,,-111.9375481,33.4243896,4,,residential,0
502,,-111.9365797,33.424328,5,,residential,0
600,,-111.9350677,33.4243045,6,,tertiary,0
601,,-111.9350662,33.4243677,6,,tertiary,0
503,,-111.9365802,33.4243912,5,,residential,0
700,,-111.9412955,33.4218554,7,,primary,0
800,,-111.9412689,33.420594,8,,residential,0
801,,-111.9411936,33.4205949,8,,residential,0
701,,-111.9412203,33.4218614,7,,primary,0
900,,-111.9423034,33.4136873,9,,residential,0
1000,,-111.9423674,33.4147187,10,,residential,-1
1001,,-111.9424315,33.4146855,10,,residential,1
901,,-111.9423786,33.4136866,9,,residential,0
1100,,-111.9423701,33.4190231,11,,residential,1
1200,,-111.9423651,33.4190285,12,,residential,0
1201,,-111.9424268,33.4190648,12,,residential,0
1101,,-111.9424295,33.4190619,11,,residential,-1
1202,,-111.9423286,33.4190995,12,,residential,0
1300,,-111.9423382,33.4203597,13,,residential,0
1301,,-111.9424134,33.4203584,13,,residential,0
1203,,-111.9423992,33.4191299,12,,residential,0
35000,,-111.9395163,33.4158756,350,,primary,0
1500,,-111.9384028,33.4149776,15,,primary,0
1501,,-111.9381764,33.414874,15,,primary,0
1601,,-111.9373658,33.4146465,16,,primary,0
1700,,-111.9370226,33.4146085,17,,primary,0
1800,,-111.9401639,33.4264935,18,,primary,0
1900,,-111.9406922,33.4264905,19,,residential,0
1901,,-111.9406917,33.4264274,19,,residential,0
1801,,-111.9401634,33.4264304,18,,primary,0
35100,,-111.940086,33.4218085,351,,primary,0
35200,,-111.9400511,33.4206199,352,,primary,0
35300,,-111.9401089,33.4190951,353,,residential,0
2300,,-111.9411496,33.4190889,23,,residential,0
2301,,-111.9411491,33.4190258,23,,residential,0
35301,,-111.940118,33.4190319,353,,residential,0
2302,,-111.9413218,33.4190879,23,,residential,0
1204,,-111.9423088,33.4190804,12,,residential,0
1205,,-111.9423081,33.4190172,12,,residential,0
2303,,-111.9413211,33.4190247,23,,residential,0
1206,,-111.9423982,33.4190797,12,,residential,0
2400,,-111.9424008,33.4190796,24,,residential,-1
2401,,-111.9423988,33.4190165,24,,residential,1
1207,,-111.9423938,33.4190166,12,,residential,0
2500,,-111.9399791,33.4136584,25,,secondary,0
902,,-111.9422542,33.4136468,9,,residential,0
903,,-111.9422537,33.4135837,9,,residential,0
2501,,-111.9399786,33.4135953,25,,secondary,0
904,,-111.9423623,33.413646,9,,residential,0
2600,,-111.9423997,33.4136453,26,,residential,-1
2601,,-111.9423981,33.4135822,26,,residential,1
905,,-111.9423669,33.4135828,9,,residential,0
35400,,-111.9365323,33.4219083,354,,secondary,0
35500,,-111.9350983,33.4219166,355,,secondary,0
2900,,-111.9393301,33.4254656,29,,tertiary,0
3000,,-111.9382471,33.425464,30,,tertiary,0
3001,,-111.938247,33.4255271,30,,tertiary,0
2901,,-111.93933,33.4255287,29,,tertiary,0
3002,,-111.938075,33.4254637,30,,tertiary,0
3100,,-111.9367585,33.4254677,31,,tertiary,0
3101,,-111.9367584,33.4255309,31,,tertiary,0
3003,,-111.9380749,33.4255268,30,,tertiary,0
3200,,-111.9288795,33.4179728,32,,tertiary,0
3300,,-111.9293765,33.4167195,33,,tertiary,0
3301,,-111.9293195,33.4166782,33,,tertiary,0
3201,,-111.9288042,33.4179744,32,,tertiary,0
3400,,-111.9369845,33.4134994,34,,residential,0
3500,,-111.9350184,33.4135152,35,,residential,0
3501,,-111.9350192,33.4135784,35,,residential,0
3401,,-111.9369852,33.4135626,34,,residential,0
3600,,-111.9226284,33.4128221,36,,residential,0
3700,,-111.9226272,33.4127007,37,,residential,-1
3701,,-111.922552,33.4127012,37,,residential,1
3601,,-111.9225532,33.4128226,36,,residential,0
3800,,-111.9261632,33.4209286,38,,tertiary,0
3900,,-111.9224104,33.4201395,39,,tertiary,-1
3901,,-111.9223919,33.4202007,39,,tertiary,1
3801,,-111.9261454,33.4209899,38,,tertiary,0
4000,,-111.9366904,33.4174103,40,,residential,0
4100,,-111.9366666,33.4162775,41,,residential,0
4101,,-111.9365913,33.4162785,41,,residential,0
4001,,-111.9366151,33.417412,40,,residential,0
4102,,-111.9366638,33.4161332,41,,residential,0
35600,,-111.9366454,33.4148129,356,,primary,0
35601,,-111.9365701,33.4148126,356,,primary,0
4103,,-111.9365886,33.4161343,41,,residential,0
3402,,-111.9370337,33.4136026,34,,residential,0
4300,,-111.937046,33.414452,43,,residential,0
4301,,-111.9371213,33.4144509,43,,residential,0
3403,,-111.937109,33.4136023,34,,residential,0
4400,,-111.9262112,33.4128511,44,,primary,0
4500,,-111.9233467,33.4128623,45,,residential,0
4501,,-111.9233473,33.4129254,45,,residential,0
4401,,-111.9262113,33.4129143,44,,primary,0
4502,,-111.923175,33.4128627,45,,residential,0
3602,,-111.9226774,33.4128627,36,,residential,0
3603,,-111.9226777,33.4129258,36,,residential,0
4503,,-111.9231748,33.4129259,45,,residential,0
3604,,-111.9225054,33.4128629,36,,residential,0
4600,,-111.922401,33.412863,46,,residential,-1
4601,,-111.922401,33.4129261,46,,residential,1
3605,,-111.9225055,33.4129261,36,,residential,0
4700,,-111.9382045,33.4191083,47,,residential,0
35302,,-111.9397734,33.4190953,353,,residential,0
35303,,-111.9397635,33.4190322,353,,residential,0
4701,,-111.9382031,33.4190451,47,,residential,0
4504,,-111.9232978,33.4128221,45,,residential,0
4900,,-111.9232965,33.4127007,49,,residential,-1
4901,,-111.9232213,33.4127012,49,,residential,1
4505,,-111.9232225,33.4128226,45,,residential,0
35700,,-111.9381817,33.4218247,357,,residential,0
5100,,-111.9381674,33.4205874,51,,residential,0
5101,,-111.9380921,33.4205877,51,,residential,0
35701,,-111.9381064,33.4218265,357,,residential,0
5102,,-111.938166,33.4204428,51,,residential,0
4702,,-111.9381553,33.4191502,47,,residential,0
4703,,-111.93808,33.4191501,47,,residential,0
5103,,-111.9380907,33.4204437,51,,residential,0
5200,,-111.9349837,33.4253763,52,,tertiary,0
602,,-111.9350185,33.4244068,6,,tertiary,0
603,,-111.9349432,33.4244067,6,,tertiary,0
5201,,-111.9349103,33.4253622,52,,tertiary,0
604,,-111.9350202,33.4242631,6,,tertiary,0
5300,,-111.9350253,33.4232764,53,,tertiary,0
5301,,-111.9349507,33.4232851,53,,tertiary,0
605,,-111.9349449,33.4242619,6,,tertiary,0
5302,,-111.9350117,33.4231363,53,,tertiary,0
35501,,-111.9350038,33.4220753,355,,secondary,0
35502,,-111.9349285,33.4220731,355,,secondary,0
5303,,-111.9349364,33.4231381,53,,tertiary,0
5500,,-111.9400646,33.4162366,55,,residential,0
5600,,-111.9411188,33.4162352,56,,residential,0
5601,,-111.9411192,33.4161721,56,,residential,0
5501,,-111.9400641,33.4161734,55,,residential,0
5602,,-111.9412918,33.4162341,56,,residential,0
5700,,-111.9423991,33.4162222,57,,residential,-1
5701,,-111.9423987,33.4161591,57,,residential,1
5603,,-111.9412902,33.4161709,56,,residential,0
5800,,-111.9288328,33.4202407,58,,tertiary,0
5900,,-111.9278726,33.4202376,59,,residential,-1
5901,,-111.9278723,33.4203008,59,,residential,1
5801,,-111.9288347,33.4203038,58,,tertiary,0
6000,,-111.93908,33.4147171,60,,residential,0
5104,,-111.9382159,33.4205461,51,,residential,0
6100,,-111.9388143,33.4205402,61,,residential,0
6101,,-111.9388134,33.4204771,61,,residential,0
5105,,-111.938215,33.420483,51,,residential,0
35800,,-111.939872,33.4231571,358,,residential,0
6300,,-111.9382454,33.4231596,63,,residential,0
6301,,-111.9382457,33.4232227,63,,residential,0
35801,,-111.9398721,33.4232203,358,,residential,0
6302,,-111.938073,33.4231607,63,,residential,0
6400,,-111.9367517,33.4231732,64,,residential,0
6401,,-111.9367506,33.4232363,64,,residential,0
6303,,-111.9380739,33.4232238,63,,residential,0
6402,,-111.936578,33.4231742,64,,residential,0
5304,,-111.935062,33.4231774,53,,tertiary,0
5305,,-111.9350623,33.4232405,53,,tertiary,0
6403,,-111.9365802,33.4232374,64,,residential,0
6500,,-111.9401103,33.4176585,65,,residential,0
6600,,-111.9411445,33.417652,66,,residential,0
6601,,-111.9411435,33.4175888,66,,residential,0
6501,,-111.9401124,33.4175954,65,,residential,0
6602,,-111.9413162,33.4176509,66,,residential,0
6700,,-111.9423989,33.4176498,67,,residential,-1
6701,,-111.942399,33.4175867,67,,residential,1
6603,,-111.941316,33.4175877,66,,residential,0
6800,,-111.9372962,33.4304447,68,,secondary,0
6900,,-111.9356438,33.4304352,69,,secondary,0
7001,,-111.9349277,33.4300567,70,,secondary,0
7100,,-111.9346725,33.4298732,71,,secondary,0
7200,,-111.9403781,33.431097,72,,primary,1
7300,,-111.9401401,33.4303218,73,,primary,0
7400,,-111.9262136,33.4299675,74,,primary,0
7500,,-111.9262124,33.4311991,75,,primary,-1
7501,,-111.926363,33.4311992,75,,primary,1
7401,,-111.9263642,33.4299676,74,,primary,0
7600,,-111.940741,33.4147311,76,,residential,0
35900,,-111.9399954,33.4147094,359,,residential,0
1502,,-111.938222,33.414963,15,,primary,0
1503,,-111.9383599,33.4148773,15,,primary,0
35901,,-111.9398257,33.4147836,359,,residential,0
8000,,-111.9399557,33.4141734,80,,secondary,0
2502,,-111.9399501,33.4137353,25,,secondary,0
2503,,-111.9398371,33.4137358,25,,secondary,0
8001,,-111.9398428,33.4141751,80,,secondary,0
8100,,-111.9339739,33.4183237,81,,residential,1
8200,,-111.9339214,33.4183136,82,,residential,0
8201,,-111.9339047,33.4183752,82,,residential,0
8101,,-111.9339571,33.4183853,81,,residential,-1
8202,,-111.9337428,33.4182975,82,,residential,0
8300,,-111.9289383,33.4184008,83,,tertiary,0
8301,,-111.9289432,33.4184638,83,,tertiary,0
8203,,-111.9337435,33.4183606,82,,residential,0
8400,,-111.9349858,33.4142415,84,,tertiary,0
