node_id,zone_id,x_coord,y_coord,macro_node_id,macro_link_id,activity_type,is_boundary
300,0,-112.2031127,33.6675552,3,,,
400,4,-112.1827051,33.667637,4,,,
500,0,-112.1631171,33.667772,5,,,
600,0,-112.1407021,33.667926,6,,,
700,0,-112.1204571,33.668066,7,,,
701,0,-112.120155,33.668068,7,,,
800,0,-112.0980941,33.66822,8,,,
900,0,-112.0797181,33.668347,9,,,
1100,0,-112.0463254,33.6685771,11,,,
1101,0,-112.0460888,33.668489,11,,,
1200,0,-112.0386428,33.6623007,12,,,
1001,0,-112.0623521,33.668466,10,,,
1400,0,-112.2113337,33.6484517,14,,,
1500,0,-112.2070356,33.6440137,15,,,
1600,0,-112.2023296,33.6392987,16,,,
1700,0,-112.1908191,33.639378,17,,,
1800,0,-112.179915,33.639453,18,,,
1900,0,-112.1682031,33.639534,19,,,
2000,0,-112.1552791,33.639623,20,,,
2100,0,-112.1431631,33.639706,21,,,
2200,0,-112.1288251,33.639805,22,,,
2300,0,-112.117491,33.6398692,23,,,
2301,0,-112.117189,33.6398712,23,,,
2400,0,-112.1025741,33.639986,24,,,
2500,0,-112.0876311,33.640089,25,,,
2600,0,-112.072486,33.640193,26,,,
2700,0,-112.0599661,33.640279,27,,,
2800,0,-112.0464361,33.640372,28,,,
2900,0,-112.0388428,33.6465674,29,,,
200,2,-112.0299655,33.6551902,2,,,
201,2,-112.0299917,33.6553857,2,,,
102,1,-112.2164119,33.653916,1,,,
3000,0,-112.1887164,33.6541807,30,,,
3001,0,-112.1884575,33.6541829,30,,,
3100,0,-112.1616574,33.6543671,31,,,
3101,0,-112.1613986,33.6543689,31,,,
3200,0,-112.1366174,33.6545402,32,,,
3201,0,-112.1363586,33.6545419,32,,,
3300,0,-112.1151695,33.6546762,33,,,
3400,0,-112.0632586,33.6550449,34,,,
202,2,-112.0299964,33.6552741,2,,,
3301,0,-112.1149106,33.654678,33,,,
3500,0,-112.0887594,33.654869,35,,,
3501,0,-112.0885006,33.6548709,35,,,
3401,0,-112.0635175,33.6550431,34,,,
3600,0,-112.1688862,33.6606494,36,,,
3102,0,-112.1616406,33.6544612,31,,,
3103,0,-112.1616266,33.6544782,31,,,
3601,0,-112.1688723,33.6606654,36,,,
3104,0,-112.1616394,33.6542968,31,,,
3700,0,-112.1687233,33.6481027,37,,,
3701,0,-112.1687093,33.6480856,37,,,
3105,0,-112.1616254,33.6542797,31,,,
3800,0,-112.117495,33.662343,38,,,
3302,0,-112.1150899,33.654807,33,,,
3303,0,-112.1150689,33.654813,33,,,
3801,0,-112.1174741,33.66235,38,,,
3304,0,-112.115057,33.6545618,33,,,
3900,0,-112.1153609,33.6469592,39,,,
3901,0,-112.115338,33.6469592,39,,,
3305,0,-112.115034,33.6545618,33,,,
4000,0,-112.0943633,33.6604183,40,,,
3502,0,-112.0887357,33.6549686,35,,,
3503,0,-112.0887216,33.6549856,35,,,
4001,0,-112.0943483,33.6604343,40,,,
3504,0,-112.0887565,33.6548148,35,,,
4100,0,-112.0996522,33.6479275,41,,,
4101,0,-112.0996401,33.6479096,41,,,
3505,0,-112.0887445,33.6547959,35,,,
203,2,-112.030018,33.6552969,2,,,
3402,0,-112.063237,33.6550681,34,,,
3403,0,-112.063539,33.655066,34,,,
3506,0,-112.0884789,33.654894,35,,,
3507,0,-112.088781,33.6548919,35,,,
3306,0,-112.1148899,33.6547002,33,,,
3307,0,-112.115192,33.6546981,33,,,
3202,0,-112.136337,33.654564,32,,,
3203,0,-112.136639,33.654562,32,,,
3106,0,-112.161377,33.6543921,31,,,
3107,0,-112.161679,33.65439,31,,,
3002,0,-112.1884369,33.654205,30,,,
3003,0,-112.1887389,33.6542025,30,,,
103,1,-112.2164119,33.653938,1,,,
702,0,-112.1202829,33.6679954,7,,,
3802,0,-112.1175671,33.6625297,38,,,
3803,0,-112.1175462,33.6625406,38,,,
703,0,-112.1202629,33.6680054,7,,,
3902,0,-112.115385,33.6467658,39,,,
2302,0,-112.11733,33.6399432,23,,,
2303,0,-112.11731,33.6399372,23,,,
3903,0,-112.115364,33.6467598,39,,,
704,0,-112.1202805,33.6681361,7,,,
4200,42,-112.1196101,33.6714092,42,,,
4201,42,-112.1196332,33.6714131,42,,,
705,0,-112.1203025,33.6681401,7,,,
2304,0,-112.1173453,33.639797,23,,,
4300,43,-112.1169601,33.6348578,43,,,
4301,43,-112.1169371,33.6348599,43,,,
2305,0,-112.1173233,33.639799,23,,,
1102,0,-112.0461097,33.6685664,11,,,
4400,0,-112.0058132,33.6687406,44,,,
4401,0,-112.0058133,33.6687636,44,,,
1103,0,-112.0461097,33.6685894,11,,,
4402,0,-112.0056407,33.6687387,44,,,
4500,0,-111.9638163,33.6676143,45,,,
4501,0,-111.9638162,33.6676373,45,,,
4403,0,-112.0056408,33.6687617,44,,,
4502,0,-111.9636472,33.6675986,45,,,
4600,0,-111.932897,33.6627592,46,,,
4601,0,-111.9328931,33.6627822,46,,,
4503,0,-111.9636432,33.6676216,45,,,
204,2,-112.0297807,33.6552737,2,,,
4700,0,-112.0025563,33.6548853,47,,,
4701,0,-112.0025563,33.6549083,47,,,
205,2,-112.0297807,33.6552967,2,,,
4702,0,-112.0023838,33.6548812,47,,,
4800,0,-111.9642942,33.6536308,48,,,
4801,0,-111.9642932,33.6536538,48,,,
4703,0,-112.0023837,33.6549042,47,,,
4802,0,-111.9641207,33.6536289,48,,,
4900,0,-111.9297031,33.653967,49,,,
4901,0,-111.929703,33.65399,49,,,
4803,0,-111.9641217,33.6536519,48,,,
4404,0,-112.0057213,33.6686792,44,,,
4704,0,-112.0024967,33.6549638,47,,,
4705,0,-112.0024766,33.6549678,47,,,
4405,0,-112.0057004,33.6686831,44,,,
4706,0,-112.002478,33.6548229,47,,,
5000,0,-112.0018381,33.6391979,50,,,
5001,0,-112.0018151,33.6391979,50,,,
4707,0,-112.002456,33.6548229,47,,,
