node_id,zone_id,x_coord,y_coord,meso_link_id,lane_no,is_boundary
0,1,-112.2164415,33.6539476,0,1,
1,,-112.2163939,33.6539965,0,1,
2,,-112.2163462,33.6540453,0,1,
3,,-112.2162985,33.6540942,0,1,
4,,-112.2162509,33.654143,0,1,
5,,-112.2162032,33.6541919,0,1,
6,,-112.2161556,33.6542407,0,1,
7,,-112.2161079,33.6542896,0,1,
8,,-112.2160602,33.6543384,0,1,
9,,-112.2160126,33.6543872,0,1,
10,,-112.2159649,33.6544361,0,1,
11,,-112.2159173,33.6544849,0,1,
12,,-112.2158696,33.6545338,0,1,
13,,-112.2158219,33.6545826,0,1,
14,,-112.2157743,33.6546315,0,1,
15,,-112.2157266,33.6546803,0,1,
16,,-112.2156789,33.6547292,0,1,
17,,-112.2156313,33.654778,0,1,
18,,-112.2155836,33.6548269,0,1,
19,,-112.215536,33.6548757,0,1,
20,,-112.2154883,33.6549246,0,1,
21,,-112.2154406,33.6549734,0,1,
22,,-112.215393,33.6550223,0,1,
23,,-112.2153453,33.6550711,0,1,
24,,-112.2152976,33.6551199,0,1,
25,,-112.21525,33.6551688,0,1,
26,,-112.2152023,33.6552176,0,1,
27,,-112.2151547,33.6552665,0,1,
28,,-112.215107,33.6553153,0,1,
29,,-112.2150593,33.6553642,0,1,
30,,-112.2150117,33.655413,0,1,
31,,-112.214964,33.6554619,0,1,
32,,-112.2149163,33.6555107,0,1,
33,,-112.2148687,33.6555596,0,1,
34,,-112.214821,33.6556084,0,1,
35,,-112.2147734,33.6556573,0,1,
36,,-112.2147257,33.6557061,0,1,
37,,-112.214678,33.655755,0,1,
38,,-112.2146304,33.6558038,0,1,
39,,-112.2145827,33.6558526,0,1,
40,,-112.214535,33.6559015,0,1,
41,,-112.2144874,33.6559503,0,1,
42,,-112.2144397,33.6559992,0,1,
43,,-112.214392,33.656048,0,1,
44,,-112.2143444,33.6560969,0,1,
45,,-112.2142967,33.6561457,0,1,
46,,-112.2142491,33.6561946,0,1,
47,,-112.2142014,33.6562434,0,1,
48,,-112.2141537,33.6562923,0,1,
49,,-112.2141061,33.6563411,0,1,
50,,-112.2140584,33.6563899,0,1,
51,,-112.2140107,33.6564388,0,1,
52,,-112.2139631,33.6564876,0,1,
53,,-112.2139154,33.6565365,0,1,
54,,-112.2138677,33.6565853,0,1,
55,,-112.2138201,33.6566342,0,1,
56,,-112.2137724,33.656683,0,1,
57,,-112.2137248,33.6567319,0,1,
58,,-112.2136771,33.6567807,0,1,
59,,-112.2136294,33.6568296,0,1,
60,,-112.2135818,33.6568784,0,1,
61,,-112.2135341,33.6569273,0,1,
62,,-112.2134864,33.6569761,0,1,
63,,-112.2134388,33.6570249,0,1,
64,,-112.2133911,33.6570738,0,1,
65,,-112.2133434,33.6571226,0,1,
66,,-112.2132958,33.6571715,0,1,
67,,-112.2132481,33.6572203,0,1,
68,,-112.2132004,33.6572692,0,1,
69,,-112.2131528,33.657318,0,1,
70,,-112.2131051,33.6573669,0,1,
71,,-112.2130574,33.6574157,0,1,
72,,-112.2130098,33.6574646,0,1,
73,,-112.2129621,33.6575134,0,1,
74,,-112.2129145,33.6575622,0,1,
75,,-112.2128668,33.6576111,0,1,
76,,-112.2128191,33.6576599,0,1,
77,,-112.2127715,33.6577088,0,1,
78,,-112.2127238,33.6577576,0,1,
79,,-112.2126761,33.6578065,0,1,
80,,-112.2126285,33.6578553,0,1,
81,,-112.2125808,33.6579042,0,1,
82,,-112.2125331,33.657953,0,1,
83,,-112.2124855,33.6580019,0,1,
84,,-112.2124378,33.6580507,0,1,
85,,-112.2123901,33.6580995,0,1,
86,,-112.2123425,33.6581484,0,1,
87,,-112.2122948,33.6581972,0,1,
88,,-112.2122471,33.6582461,0,1,
89,,-112.2121995,33.6582949,0,1,
90,,-112.2121518,33.6583438,0,1,
91,,-112.2121041,33.6583926,0,1,
92,,-112.2120565,33.6584415,0,1,
93,,-112.2120088,33.6584903,0,1,
94,,-112.2119611,33.6585392,0,1,
95,,-112.2119135,33.658588,0,1,
96,,-112.2118658,33.6586368,0,1,
97,,-112.2118181,33.6586857,0,1,
98,,-112.2117705,33.6587345,0,1,
99,,-112.2117228,33.6587834,0,1,
100,,-112.2116751,33.6588322,0,1,
101,,-112.2116275,33.6588811,0,1,
102,,-112.2115798,33.6589299,0,1,
103,,-112.2115321,33.6589788,0,1,
104,,-112.2114845,33.6590276,0,1,
105,,-112.2114368,33.6590765,0,1,
106,,-112.2113891,33.6591253,0,1,
107,,-112.2113415,33.6591741,0,1,
108,,-112.2112938,33.659223,0,1,
109,,-112.2112461,33.6592718,0,1,
110,,-112.2111985,33.6593207,0,1,
111,,-112.2111508,33.6593695,0,1,
112,,-112.2111031,33.6594184,0,1,
113,,-112.2110555,33.6594672,0,1,
114,,-112.2110078,33.6595161,0,1,
115,,-112.2109601,33.6595649,0,1,
116,,-112.2109125,33.6596137,0,1,
117,,-112.2108648,33.6596626,0,1,
118,,-112.2108171,33.6597114,0,1,
119,,-112.2107695,33.6597603,0,1,
120,,-112.2107218,33.6598091,0,1,
121,,-112.2106741,33.659858,0,1,
122,,-112.2106265,33.6599068,0,1,
123,,-112.2105788,33.6599557,0,1,
124,,-112.2105311,33.6600045,0,1,
125,,-112.2104835,33.6600533,0,1,
126,,-112.2104358,33.6601022,0,1,
127,,-112.2103881,33.660151,0,1,
128,,-112.2103404,33.6601999,0,1,
129,,-112.2102928,33.6602487,0,1,
130,,-112.2102451,33.6602976,0,1,
131,,-112.2101974,33.6603464,0,1,
132,,-112.2101498,33.6603953,0,1,
133,,-112.2101021,33.6604441,0,1,
134,,-112.2100544,33.6604929,0,1,
135,,-112.2100068,33.6605418,0,1,
136,,-112.2099591,33.6605906,0,1,
137,,-112.2099114,33.6606395,0,1,
138,,-112.2098638,33.6606883,0,1,
139,,-112.2098161,33.6607372,0,1,
140,,-112.2097684,33.660786,0,1,
141,,-112.2097208,33.6608349,0,1,
142,,-112.2096731,33.6608837,0,1,
143,,-112.2096254,33.6609325,0,1,
144,,-112.2095778,33.6609814,0,1,
145,,-112.2095301,33.6610302,0,1,
146,,-112.2094824,33.6610791,0,1,
147,,-112.2094347,33.6611279,0,1,
148,,-112.2093871,33.6611768,0,1,
149,,-112.2093394,33.6612256,0,1,
150,,-112.2092917,33.6612745,0,1,
151,,-112.2092441,33.6613233,0,1,
152,,-112.2091964,33.6613721,0,1,
153,,-112.2091487,33.661421,0,1,
154,,-112.2091011,33.6614698,0,1,
155,,-112.2090534,33.6615187,0,1,
156,,-112.2090057,33.6615675,0,1,
157,,-112.208958,33.6616164,0,1,
158,,-112.2089104,33.6616652,0,1,
159,,-112.2088627,33.6617141,0,1,
160,,-112.208815,33.6617629,0,1,
161,,-112.2087674,33.6618117,0,1,
162,,-112.2087197,33.6618606,0,1,
163,,-112.208672,33.6619094,0,1,
164,,-112.2086244,33.6619583,0,1,
165,,-112.2085767,33.6620071,0,1,
166,,-112.208529,33.662056,0,1,
167,,-112.2084813,33.6621048,0,1,
168,,-112.2084337,33.6621536,0,1,
169,,-112.208386,33.6622025,0,1,
170,,-112.2083383,33.6622513,0,1,
171,,-112.2082907,33.6623002,0,1,
172,,-112.208243,33.662349,0,1,
173,,-112.2081953,33.6623979,0,1,
174,,-112.2081477,33.6624467,0,1,
175,,-112.2081,33.6624956,0,1,
176,,-112.2080523,33.6625444,0,1,
177,,-112.2080046,33.6625932,0,1,
178,,-112.207957,33.6626421,0,1,
179,,-112.2079093,33.6626909,0,1,
180,,-112.2078616,33.6627398,0,1,
181,,-112.207814,33.6627886,0,1,
182,,-112.2077663,33.6628375,0,1,
183,,-112.2077186,33.6628863,0,1,
184,,-112.2076709,33.6629351,0,1,
185,,-112.2076233,33.662984,0,1,
186,,-112.2075756,33.6630328,0,1,
187,,-112.2075279,33.6630817,0,1,
188,,-112.2074803,33.6631305,0,1,
189,,-112.2074326,33.6631794,0,1,
190,,-112.2073849,33.6632282,0,1,
191,,-112.2073372,33.663277,0,1,
192,,-112.2072896,33.6633259,0,1,
193,,-112.2072419,33.6633747,0,1,
194,,-112.2071942,33.6634236,0,1,
195,,-112.2071466,33.6634724,0,1,
196,,-112.2070989,33.6635213,0,1,
197,,-112.2070512,33.6635701,0,1,
198,,-112.2070035,33.663619,0,1,
199,,-112.2069559,33.6636678,0,1,
200,,-112.2069082,33.6637166,0,1,
201,,-112.2068605,33.6637655,0,1,
202,,-112.2068129,33.6638143,0,1,
