mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,mvmt_txt_id,geometry,volume,free_speed,allowed_uses
0,1,,,55,3,3,1,3,3,1,,,right,,,,WBR,"LINESTRING (-112.2163267 33.6539388, -112.2163584 33.6539829)",,,
1,1,,,55,1,2,11,1,2,2,,,left,,,,WBL,"LINESTRING (-112.2163267 33.6539388, -112.2163601 33.6538700)",,,
2,2,,,27,1,2,49,1,2,2,,,left,,,,NBL,"LINESTRING (-112.0299233 33.6552313, -112.0299533 33.6552974)",,,
3,2,,,27,3,3,70,1,1,1,,,right,,,,NBR,"LINESTRING (-112.0299233 33.6552313, -112.0297807 33.6552737)",,,
4,2,,,28,4,4,49,3,3,1,,,right,,,,EBR,"LINESTRING (-112.0299294 33.6553358, -112.0299533 33.6552974)",,,
5,2,,,28,1,1,70,1,1,1,,,thru,,,,EBT,"LINESTRING (-112.0299294 33.6553358, -112.0297807 33.6552737)",,,
6,2,,,33,1,1,70,1,1,1,,,thru,,,,EBT,"LINESTRING (-112.0299533 33.6552744, -112.0297807 33.6552737)",,,
7,2,,,71,1,1,49,1,1,1,,,thru,,,,WBT,"LINESTRING (-112.0297807 33.6552967, -112.0299533 33.6552974)",,,
8,3,,,1,1,3,2,1,3,3,,,right,,,,NBR,"LINESTRING (-112.2031665 33.6675001, -112.2030257 33.6675563)",,,
9,4,,,2,1,2,3,1,2,2,,,thru,,,,EBT,"LINESTRING (-112.1827903 33.6676367, -112.1826177 33.6676376)",,,
10,4,,,2,3,3,48,2,2,1,,,thru,,,,EBT,"LINESTRING (-112.1827903 33.6676367, -112.1826301 33.6675997)",,,
11,5,,,3,1,3,4,1,3,3,,,thru,,,,EBT,"LINESTRING (-112.1632023 33.6677714, -112.1630297 33.6677726)",,,
12,6,,,4,1,3,5,1,3,3,,,thru,,,,EBT,"LINESTRING (-112.1407873 33.6679254, -112.1406147 33.6679266)",,,
13,7,,,5,2,2,6,3,3,1,,,thru,,,,EBT,"LINESTRING (-112.1203923 33.6680664, -112.1202198 33.6680676)",,,
14,7,,,5,3,3,56,1,1,1,,,right,,,,EBR,"LINESTRING (-112.1203923 33.6680664, -112.1202829 33.6679954)",,,
15,7,,,5,1,1,60,1,1,1,,,left,,,,EBL,"LINESTRING (-112.1203923 33.6680664, -112.1202805 33.6681361)",,,
16,7,,,57,1,1,6,3,3,1,,,right,,,,NBR,"LINESTRING (-112.1202629 33.6680054, -112.1202198 33.6680676)",,,
17,7,,,57,1,1,60,1,1,1,,,thru,,,,NBT,"LINESTRING (-112.1202629 33.6680054, -112.1202805 33.6681361)",,,
18,7,,,61,1,1,6,1,1,1,,,left,,,,SBL,"LINESTRING (-112.1203025 33.6681401, -112.1202198 33.6680676)",,,
19,7,,,61,1,1,56,1,1,1,,,thru,,,,SBT,"LINESTRING (-112.1203025 33.6681401, -112.1202829 33.6679954)",,,
20,8,,,6,1,3,7,1,3,3,,,thru,,,,EBT,"LINESTRING (-112.0981793 33.6682194, -112.0980067 33.6682206)",,,
21,9,,,7,2,3,10,1,2,2,,,thru,,,,EBT,"LINESTRING (-112.0798033 33.6683464, -112.0796307 33.6683476)",,,
22,10,,,10,1,2,8,1,2,2,,,thru,,,,EBT,"LINESTRING (-112.0624373 33.6684654, -112.0622647 33.6684666)",,,
23,11,,,8,2,2,9,3,3,1,,,right,,,,EBR,"LINESTRING (-112.0462823 33.6685774, -112.0461348 33.6685271)",,,
24,11,,,8,1,1,64,1,1,1,,,thru,,,,EBT,"LINESTRING (-112.0462823 33.6685774, -112.0461097 33.6685664)",,,
25,11,,,65,1,1,9,1,1,1,,,left,,,,WBL,"LINESTRING (-112.0461097 33.6685894, -112.0461348 33.6685271)",,,
26,12,,,9,1,3,28,1,3,3,,,thru,,,,EBT,"LINESTRING (-112.0387032 33.6623509, -112.0385797 33.6622502)",,,
27,14,,,11,1,3,12,1,3,3,,,thru,,,,SBT,"LINESTRING (-112.2113859 33.6485080, -112.2112787 33.6483949)",,,
28,15,,,12,1,3,13,1,3,3,,,thru,,,,SBT,"LINESTRING (-112.2070893 33.6440691, -112.2069797 33.6439576)",,,
29,16,,,13,1,3,14,1,3,3,,,left,,,,SBL,"LINESTRING (-112.2023843 33.6393534, -112.2022427 33.6392986)",,,
30,17,,,14,1,3,15,1,3,3,,,thru,,,,EBT,"LINESTRING (-112.1909043 33.6393774, -112.1907318 33.6393786)",,,
31,18,,,15,1,3,16,1,3,3,,,thru,,,,EBT,"LINESTRING (-112.1800002 33.6394524, -112.1798277 33.6394536)",,,
32,19,,,16,1,3,17,1,3,3,,,thru,,,,EBT,"LINESTRING (-112.1682882 33.6395334, -112.1681157 33.6395346)",,,
33,20,,,17,1,3,18,1,3,3,,,thru,,,,EBT,"LINESTRING (-112.1553643 33.6396224, -112.1551918 33.6396236)",,,
34,21,,,18,1,3,19,1,3,3,,,thru,,,,EBT,"LINESTRING (-112.1432482 33.6397055, -112.1430757 33.6397066)",,,
35,22,,,19,1,3,20,1,3,3,,,thru,,,,EBT,"LINESTRING (-112.1289102 33.6398044, -112.1287377 33.6398055)",,,
36,23,,,20,2,2,21,3,3,1,,,thru,,,,EBT,"LINESTRING (-112.1174262 33.6398695, -112.1172537 33.6398707)",,,
37,23,,,20,1,1,59,1,1,1,,,left,,,,EBL,"LINESTRING (-112.1174262 33.6398695, -112.1173100 33.6399372)",,,
38,23,,,20,3,3,62,1,1,1,,,right,,,,EBR,"LINESTRING (-112.1174262 33.6398695, -112.1173453 33.6397970)",,,
39,23,,,58,1,1,21,1,1,1,,,left,,,,SBL,"LINESTRING (-112.1173300 33.6399432, -112.1172537 33.6398707)",,,
40,23,,,58,1,1,62,1,1,1,,,thru,,,,SBT,"LINESTRING (-112.1173300 33.6399432, -112.1173453 33.6397970)",,,
41,23,,,63,1,1,21,3,3,1,,,right,,,,NBR,"LINESTRING (-112.1173233 33.6397990, -112.1172537 33.6398707)",,,
42,23,,,63,1,1,59,1,1,1,,,thru,,,,NBT,"LINESTRING (-112.1173233 33.6397990, -112.1173100 33.6399372)",,,
43,24,,,21,1,3,22,1,3,3,,,thru,,,,EBT,"LINESTRING (-112.1026593 33.6399854, -112.1024868 33.6399866)",,,
44,25,,,22,1,3,23,1,3,3,,,thru,,,,EBT,"LINESTRING (-112.0877163 33.6400884, -112.0875437 33.6400896)",,,
45,26,,,23,1,3,24,1,3,3,,,thru,,,,EBT,"LINESTRING (-112.0725712 33.6401924, -112.0723987 33.6401936)",,,
46,27,,,24,1,3,25,1,3,3,,,thru,,,,EBT,"LINESTRING (-112.0600513 33.6402784, -112.0598787 33.6402796)",,,
47,28,,,25,1,3,26,1,3,3,,,thru,,,,EBT,"LINESTRING (-112.0465213 33.6403714, -112.0463733 33.6404224)",,,
48,29,,,26,1,3,27,1,3,3,,,thru,,,,EBT,"LINESTRING (-112.0389038 33.6465176, -112.0387858 33.6466227)",,,
49,30,,,29,1,2,30,1,2,2,,,thru,,,,EBT,"LINESTRING (-112.1886732 33.6541812, -112.1885007 33.6541826)",,,
50,30,,,54,1,3,55,1,3,3,,,thru,,,,WBT,"LINESTRING (-112.1885017 33.6542046, -112.1886742 33.6542032)",,,
51,31,,,30,2,2,31,2,2,1,,,thru,,,,EBT,"LINESTRING (-112.1616143 33.6543674, -112.1614417 33.6543686)",,,
52,31,,,30,1,1,37,1,1,1,,,left,,,,EBL,"LINESTRING (-112.1616143 33.6543674, -112.1615814 33.6544395)",,,
53,31,,,30,2,2,38,3,3,1,,,right,,,,EBR,"LINESTRING (-112.1616143 33.6543674, -112.1615947 33.6543359)",,,
54,31,,,36,1,1,31,1,1,1,,,left,,,,SBL,"LINESTRING (-112.1615954 33.6544226, -112.1614417 33.6543686)",,,
55,31,,,36,2,2,38,3,3,1,,,right,,,,SBR,"LINESTRING (-112.1615954 33.6544226, -112.1615947 33.6543359)",,,
56,31,,,36,3,3,54,3,3,1,,,right,,,,SBR,"LINESTRING (-112.1615954 33.6544226, -112.1616143 33.6543904)",,,
57,31,,,39,3,3,31,2,2,1,,,right,,,,NBR,"LINESTRING (-112.1615806 33.6543189, -112.1614417 33.6543686)",,,
